 195705152205  2.1  -122.077   49.156   PGC      6.00   Mw   2.1 Mq     2.10
 195706011048  2.2  -124.300   50.500   PGC             Mw   2.2 Mq     2.20
 196208110110  2.6  -125.200   48.800   PGC             Mw   2.6 Mq     2.60
 195708210346  2.0  -123.809   48.762   PGC      7.00   Mw   2.0 Mq     2.00
 196305111907  2.5  -126.430   49.710   PGC             Mw   2.5 Mq     2.50
 195709061235  2.2  -124.000   49.200   PGC             Mw   2.2 Mq     2.20
 196312081324  2.7  -125.900   49.300   PGC             Mw   2.7 Mq     2.70
 195709140254  2.1  -125.147   48.704   PGC      8.00   Mw   2.1 Mq     2.10
 196704070509  2.6  -124.600   50.300   PGC             Mw   2.6 Mq     2.60
 195711042202  2.2  -125.018   48.582   PGC      5.00   Mw   2.2 Mq     2.20
 195711140354  2.2  -122.779   48.980   PGC     60.00   Mw   1.6 Mq     2.17
 195712112305  2.1  -123.699   49.426   PGC     18.00   Mw   2.1 Mq     2.10
 196707110931  2.6  -123.900   49.800   PGC             Mw   2.6 Mq     2.60
 195801081924  2.2  -122.433   49.441   PGC     10.00   Mw   2.2 Mq     2.20
 196804150206  2.6  -123.700   49.700   PGC     18.00 F Mw   2.6 Mq     2.60
 195801191257  2.0  -123.150   49.530   PGC             Mw   2.0 Mq     2.00
 196804282214  2.5  -123.800   49.700   PGC     18.00 F Mw   2.5 Mq     2.50
 195801261017  2.0  -124.300   48.500   PGC             Mw   2.0 Mq     2.00
 195801290838  2.4  -125.500   49.000   PGC             Mw   2.4 Mq     2.40
 195802162214  2.1  -123.629   49.364   PGC     14.00   Mw   2.1 Mq     2.10
 196807191928  2.6  -122.300   48.900   PGC     18.00 F Mw   2.6 Mq     2.60
 195803011908  2.0  -124.968   48.691   PGC     41.00   Mw   2.0 Mq     2.00
 196808111049  2.7  -123.700   49.400   PGC     18.00 F Mw   2.7 Mq     2.70
 195803031949  2.0  -123.565   49.741   PGC     29.00   Mw   2.0 Mq     2.00
 196908121455  2.6  -126.100   49.700   PGC     18.00 F Mw   2.6 Mq     2.60
 195804021012  2.3  -125.340   48.841   PGC      7.00   Mw   2.3 Mq     2.30
 196910121358  2.7  -126.400   50.000   PGC     18.00 F Mw   2.7 Mq     2.70
 195805090447  2.3  -125.000   50.100   PGC             Mw   2.3 Mq     2.30
 195805180534  2.0  -125.220   48.780   PGC             Mw   2.0 Mq     2.00
 195806192150  2.3  -124.955   48.871   PGC     44.00   Mw   2.3 Mq     2.30
 195810032118  2.2  -122.820   49.600   PGC             Mw   2.2 Mq     2.20
 195810122230  2.2  -124.975   48.699   PGC     26.00   Mw   2.2 Mq     2.20
 197508150435  2.5  -125.680   49.510   PGC     18.00 F Mw   2.5 Mq     2.50
 197510061837  2.7  -122.698   49.307   PGC      3.00   Mw   2.7 Mq     2.70
 195811231440  2.1  -123.617   49.319   PGC     12.00   Mw   2.1 Mq     2.10
 195812041800  2.1  -123.870   49.350   PGC             Mw   2.1 Mq     2.10
 197511301440  2.5  -123.630   49.230   PGC     18.00 F Mw   2.5 Mq     2.50
 197512012314  2.5  -123.600   49.250   PGC     18.00 F Mw   2.5 Mq     2.50
 195812071442  2.2  -122.751   49.087   PGC     29.00   Mw   2.2 Mq     2.20
 197512102320  2.7  -123.654   49.253   PGC      7.00   Mw   2.7 Mq     2.70
 195812072023  2.0  -122.757   49.105   PGC     29.00   Mw   2.0 Mq     2.00
 195812091838  2.4  -123.980   49.320   PGC             Mw   2.4 Mq     2.40
 195812190033  2.4  -122.678   49.110   PGC      7.00   Mw   2.4 Mq     2.40
 195812190643  2.3  -122.615   49.138   PGC      6.00   Mw   2.3 Mq     2.30
 195812200642  2.0  -124.664   48.506   PGC      8.00   Mw   2.0 Mq     2.00
 195902010751  2.3  -123.530   48.870   PGC             Mw   2.3 Mq     2.30
 195902170329  2.4  -124.080   49.530   PGC             Mw   2.4 Mq     2.40
 195903141958  2.4  -121.994   48.969   PGC      6.00   Mw   2.4 Mq     2.40
 195904041329  2.4  -121.900   48.970   PGC             Mw   2.4 Mq     2.40
 195904181416  2.2  -123.880   49.180   PGC             Mw   2.2 Mq     2.20
 195905022009  2.2  -122.180   48.950   PGC             Mw   2.2 Mq     2.20
 195906152318  2.1  -124.100   48.900   PGC             Mw   2.1 Mq     2.10
 195907221534  2.4  -124.700   48.600   PGC             Mw   2.4 Mq     2.40
 195907270327  2.3  -123.070   49.000   PGC             Mw   2.3 Mq     2.30
 195908142122  2.0  -123.550   49.300   PGC             Mw   2.0 Mq     2.00
 195908142128  2.3  -123.491   49.354   PGC     10.00   Mw   2.3 Mq     2.30
 195910150451  2.0  -125.122   48.808   PGC     42.00   Mw   2.0 Mq     2.00
 195910161754  2.2  -124.700   48.500   PGC             Mw   2.2 Mq     2.20
 195911272253  2.0  -123.900   50.100   PGC             Mw   2.0 Mq     2.00
 196001021834  2.2  -123.270   48.750   PGC             Mw   2.2 Mq     2.20
 196002190005  2.1  -123.700   48.700   PGC             Mw   2.1 Mq     2.10
 196006080509  2.3  -123.100   48.800   PGC             Mw   2.3 Mq     2.30
 196008140737  2.0  -124.800   48.700   PGC             Mw   2.0 Mq     2.00
 196010050259  2.4  -123.870   48.600   PGC             Mw   2.4 Mq     2.40
 196012241850  2.1  -123.530   48.780   PGC             Mw   2.1 Mq     2.10
 196103040950  2.4  -125.500   48.950   PGC             Mw   2.4 Mq     2.40
 196105020537  2.4  -124.700   48.800   PGC             Mw   2.4 Mq     2.40
 196110181345  2.2  -122.300   48.900   PGC             Mw   2.2 Mq     2.20
 196112142045  2.0  -125.400   48.900   PGC             Mw   2.0 Mq     2.00
 196201252055  2.2  -125.400   48.900   PGC             Mw   2.2 Mq     2.20
 196202022242  2.2  -125.500   48.900   PGC             Mw   2.2 Mq     2.20
 196203120120  2.4  -123.280   49.720   PGC             Mw   2.4 Mq     2.40
 196204120339  2.0  -122.900   49.100   PGC             Mw   2.0 Mq     2.00
 196207290655  2.4  -124.500   50.800   PGC             Mw   2.4 Mq     2.40
 196302230619  2.3  -123.610   49.480   PGC             Mw   2.3 Mq     2.30
 196303300257  2.3  -122.380   48.870   PGC             Mw   2.3 Mq     2.30
 196305061433  2.3  -122.250   49.070   PGC             Mw   2.3 Mq     2.30
 196305090508  2.0  -123.050   48.920   PGC             Mw   2.0 Mq     2.00
 196310140535  2.0  -124.600   48.700   PGC             Mw   2.0 Mq     2.00
 196312201911  2.4  -124.200   49.600   PGC             Mw   2.4 Mq     2.40
 196404190213  2.3  -121.800   49.000   PGC             Mw   2.3 Mq     2.30
 196405010019  2.2  -123.100   49.700   PGC             Mw   2.2 Mq     2.20
