# mean, investigation_time=50.0
lon,lat,0.02~SA(2.0),0.02~SA(5.0),0.1~SA(2.0),0.1~SA(5.0)
-80.53000,43.17000,3.590540E-02,9.200142E-03,1.166822E-02,2.634474E-03
-80.52000,43.47000,3.594399E-02,9.288682E-03,1.184706E-02,2.693753E-03
-80.48000,43.45000,3.626201E-02,9.358450E-03,1.193124E-02,2.711514E-03
-80.47000,48.53000,3.624242E-02,9.083323E-03,1.072056E-02,2.311351E-03
-80.39400,44.17000,3.650762E-02,9.580606E-03,1.228864E-02,2.826609E-03
-80.38000,43.20000,3.721510E-02,9.508758E-03,1.205556E-02,2.722325E-03
-80.37000,43.70000,3.668232E-02,9.530245E-03,1.221265E-02,2.790767E-03
-80.32000,42.77000,3.607357E-02,9.185103E-03,1.161931E-02,2.608988E-03
-80.32000,43.38000,3.775298E-02,9.680957E-03,1.231119E-02,2.789080E-03
-80.30000,42.83000,3.643175E-02,9.280745E-03,1.174563E-02,2.640467E-03
-80.27000,43.13000,3.813272E-02,9.705326E-03,1.228011E-02,2.766504E-03
-80.25000,43.55000,3.785938E-02,9.766616E-03,1.247039E-02,2.836717E-03
-80.22000,44.48000,3.773749E-02,9.949682E-03,1.271872E-02,2.932792E-03
-80.20400,44.07600,3.740187E-02,9.797551E-03,1.257479E-02,2.889428E-03
-80.20000,42.78000,3.676347E-02,9.359732E-03,1.184956E-02,2.664080E-03
-80.10000,42.88000,3.801327E-02,9.667525E-03,1.223354E-02,2.752140E-03
-80.10000,43.92000,3.798386E-02,9.916788E-03,1.272630E-02,2.916792E-03
-80.05000,42.97000,3.919491E-02,9.938864E-03,1.255578E-02,2.821235E-03
-80.03000,45.35000,4.138191E-02,1.090578E-02,1.356079E-02,3.125233E-03
-80.03000,48.15000,4.094866E-02,1.050330E-02,1.255289E-02,2.793415E-03
-79.93000,43.07000,4.194006E-02,1.047727E-02,1.317923E-02,2.949613E-03
-79.92000,43.65000,4.021385E-02,1.033707E-02,1.317801E-02,2.998495E-03
-79.92000,44.78000,3.990437E-02,1.053983E-02,1.335768E-02,3.091036E-03
-79.92000,46.37000,4.880278E-02,1.265387E-02,1.516866E-02,3.433380E-03
-79.88000,43.52000,4.207651E-02,1.064148E-02,1.347263E-02,3.044806E-03
-79.88000,44.27000,3.909769E-02,1.027835E-02,1.317041E-02,3.038889E-03
-79.88000,44.75000,4.002989E-02,1.057156E-02,1.340560E-02,3.103211E-03
-79.87000,44.15000,3.908601E-02,1.025174E-02,1.315019E-02,3.029390E-03
