 198512231613  3.5  -124.240   62.190   GSC     10.00 G Mwp  3.5 MN     3.50
 198512231653  4.0  -124.416   62.271   GSC     10.00 G Mwp  4.0 MN     4.00
 198512231705  3.2  -124.240   62.190   GSC     10.00 G Mwp  3.2 MN     3.20
 198512231714  3.8  -124.344   61.919   GSC     10.00 G Mwp  3.8 MN     3.80
 198512231720  3.5  -124.240   62.190   GSC     10.00 G Mwp  3.5 MN     3.50
 198512231731  3.3  -124.240   62.190   GSC     10.00 G Mwp  3.3 MN     3.30
 198512231735  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512231809  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512231845  3.1  -124.240   62.190   GSC     10.00 G Mwp  3.1 MN     3.10
 198512231859  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512231937  5.6  -124.291   62.065   GSC     10.00 G Mwp  5.6 MN     5.60
 198512231954  3.2  -124.508   61.966   GSC     10.00 G Mwp  3.2 MN     3.20
 198512231958  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512232107  3.0  -124.240   62.190   GSC     10.00 G Mwp  3.0 MN     3.00
 198512232211  4.3  -124.253   62.022   GSC     10.00 G Mwp  4.3 MN     4.30
 198512232303  3.4  -124.285   61.950   GSC     10.00 G Mwp  3.4 MN     3.40
