# Difference between AtkinsonMacias2009.vs115.h15.txt and AtkinsonMacias2009.vs450.h15.txt ground motions in regular (non-log) units
#           14 31 25 : nmag, ndist, nperiod
#           10.000 7.692 6.250 5.000 4.000 3.125 2.500 2.000 1.587 1.266 1.000 0.794 0.633 0.500 0.400 0.316 0.250 0.200 0.159 0.125 0.100 0.079 0.063 0.050 PGA PGV
#           0.875 0.806 0.783 0.737 0.691 0.691 0.691 0.691 0.668 0.668 0.668 0.645 0.645 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.599 0.599 0.553 0.599
5.000	199.530	2.449	2.851	3.177	3.508	3.741	3.917	4.046	4.009	3.715	3.491	3.266	2.979	2.871	2.754	2.500	2.328	2.075	1.875	1.679	1.563	1.489	1.429	1.416	1.426	1.778	1.374
5.000	251.190	2.449	2.844	3.184	3.508	3.750	3.926	4.055	4.046	3.837	3.690	3.516	3.251	3.155	3.020	2.748	2.559	2.286	2.056	1.828	1.698	1.611	1.542	1.528	1.542	1.910	1.476
5.000	316.230	2.449	2.844	3.184	3.516	3.750	3.926	4.055	4.074	3.926	3.864	3.715	3.483	3.388	3.228	2.958	2.754	2.449	2.198	1.954	1.803	1.706	1.629	1.614	1.637	2.018	1.556
5.000	398.110	2.449	2.844	3.177	3.508	3.750	3.926	4.064	4.093	3.999	3.981	3.864	3.648	3.556	3.388	3.112	2.904	2.576	2.312	2.051	1.888	1.778	1.698	1.683	1.710	2.094	1.618
5.000	501.190	2.449	2.844	3.177	3.508	3.750	3.936	4.064	4.102	4.046	4.074	3.972	3.776	3.690	3.508	3.228	3.006	2.673	2.388	2.123	1.950	1.837	1.750	1.730	1.762	2.153	1.663
5.000	630.960	2.449	2.844	3.184	3.508	3.750	3.926	4.074	4.121	4.083	4.140	4.046	3.855	3.784	3.597	3.311	3.083	2.748	2.449	2.173	1.991	1.875	1.782	1.762	1.799	2.193	1.694
5.000	794.330	2.443	2.844	3.184	3.508	3.750	3.926	4.074	4.121	4.102	4.178	4.102	3.917	3.837	3.656	3.373	3.141	2.786	2.489	2.208	2.023	1.901	1.803	1.786	1.824	2.218	1.714
5.000	1000.000	2.443	2.844	3.177	3.508	3.750	3.936	4.074	4.121	4.121	4.207	4.140	3.963	3.890	3.690	3.412	3.177	2.818	2.518	2.228	2.037	1.919	1.820	1.803	1.845	2.239	1.730
5.250	1.000	2.449	2.844	3.177	3.499	3.715	3.767	3.532	2.506	0.693	0.157	0.064	0.027	0.019	0.021	0.015	0.014	0.013	0.014	0.015	0.019	0.023	0.026	0.027	0.020	0.040	0.030
5.250	1.260	2.443	2.844	3.177	3.508	3.707	3.767	3.532	2.518	0.703	0.161	0.066	0.028	0.020	0.022	0.015	0.014	0.013	0.015	0.016	0.020	0.023	0.027	0.028	0.021	0.041	0.031
