# mean, investigation_time=50.0
lon,lat,0.02~PGA,0.02~SA(0.1),0.02~SA(0.2),0.02~SA(0.5),0.02~SA(1.0),0.02~SA(2.0),0.02~SA(5.0),0.02~SA(10.0),0.1~PGA,0.1~SA(0.1),0.1~SA(0.2),0.1~SA(0.5),0.1~SA(1.0),0.1~SA(2.0),0.1~SA(5.0),0.1~SA(10.0)
-122.96000,50.12000,2.626452E-01,5.343996E-01,6.052762E-01,4.061434E-01,2.367893E-01,1.544915E-01,5.018645E-02,2.391495E-02,1.164872E-01,2.335396E-01,2.667233E-01,1.840749E-01,1.035373E-01,5.854058E-02,1.666099E-02,6.846879E-03
-122.92000,49.22000,4.555548E-01,9.543954E-01,1.072044E+00,7.517517E-01,4.218655E-01,2.575768E-01,6.968091E-02,2.955706E-02,2.307123E-01,4.736751E-01,5.360347E-01,3.676766E-01,1.975201E-01,1.044108E-01,2.445502E-02,9.240169E-03
-122.92000,49.28000,4.394038E-01,9.182175E-01,1.030176E+00,7.209001E-01,4.070458E-01,2.485792E-01,6.795240E-02,2.905431E-02,2.211092E-01,4.530514E-01,5.114823E-01,3.510813E-01,1.888498E-01,1.004227E-01,2.377122E-02,9.034393E-03
-122.80000,49.02000,4.929310E-01,1.037828E+00,1.161980E+00,8.179262E-01,4.553656E-01,2.767735E-01,7.326080E-02,3.053448E-02,2.548777E-01,5.267281E-01,5.928803E-01,4.072288E-01,2.161810E-01,1.128375E-01,2.600471E-02,9.697451E-03
-122.79000,49.16300,4.499218E-01,9.423497E-01,1.058323E+00,7.399953E-01,4.155675E-01,2.529647E-01,6.860514E-02,2.917091E-02,2.286283E-01,4.699306E-01,5.312507E-01,3.637304E-01,1.952698E-01,1.032441E-01,2.417547E-02,9.151745E-03
-122.75000,53.92000,5.604932E-02,1.056005E-01,1.199348E-01,7.818317E-02,5.046954E-02,4.161935E-02,2.529977E-02,1.603488E-02,1.925934E-02,3.207536E-02,3.763515E-02,3.012680E-02,2.276271E-02,1.858356E-02,8.644651E-03,3.938122E-03
-122.73300,49.10000,4.576583E-01,9.595207E-01,1.079337E+00,7.546844E-01,4.222812E-01,2.565177E-01,6.925121E-02,2.932775E-02,2.338946E-01,4.816525E-01,5.452897E-01,3.725873E-01,1.997332E-01,1.049631E-01,2.448626E-02,9.242932E-03
-122.65000,49.10000,4.440263E-01,9.291003E-01,1.044660E+00,7.282746E-01,4.091938E-01,2.481093E-01,6.753196E-02,2.878350E-02,2.263895E-01,4.659120E-01,5.264281E-01,3.593792E-01,1.926889E-01,1.016753E-01,2.386945E-02,9.055381E-03
-122.60000,49.22000,4.061907E-01,8.453654E-01,9.467168E-01,6.569381E-01,3.712630E-01,2.276045E-01,6.336907E-02,2.755765E-02,2.040028E-01,4.178920E-01,4.693844E-01,3.215070E-01,1.729756E-01,9.210863E-02,2.222622E-02,8.559477E-03
-122.48000,52.98000,5.603124E-02,1.036637E-01,1.161574E-01,8.023573E-02,5.750965E-02,4.893398E-02,2.746740E-02,1.681789E-02,2.002338E-02,3.289973E-02,3.926941E-02,3.405093E-02,2.556546E-02,2.042628E-02,9.097605E-03,4.111740E-03
