ordinal,uid,model,gsim,weight
70,b1~b11_b22_b31_b42_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() C,0.000976562
71,b1~b11_b22_b31_b42_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() C,0.000976562
72,b1~b11_b22_b31_b43_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() Abraham,0.000976562
73,b1~b11_b22_b31_b43_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() BooreEt,0.000976562
74,b1~b11_b22_b31_b43_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() Campbel,0.000976562
75,b1~b11_b22_b31_b43_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() ChiouYo,0.000976562
76,b1~b11_b22_b31_b44_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadi,0.000976562
77,b1~b11_b22_b31_b44_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadi,0.000976562
78,b1~b11_b22_b31_b44_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadi,0.000976562
79,b1~b11_b22_b31_b44_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadi,0.000976562
80,b1~b11_b22_b32_b41_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AbrahamsonEtAl2015SSlab() Abrahams,0.000976562
81,b1~b11_b22_b32_b41_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AbrahamsonEtAl2015SSlab() BooreEtA,0.000976562
82,b1~b11_b22_b32_b41_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AbrahamsonEtAl2015SSlab() Campbell,0.000976562
83,b1~b11_b22_b32_b41_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AbrahamsonEtAl2015SSlab() ChiouYou,0.000976562
84,b1~b11_b22_b32_b42_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() Abraha,0.000976562
85,b1~b11_b22_b32_b42_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() BooreE,0.000976562
86,b1~b11_b22_b32_b42_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() Campbe,0.000976562
87,b1~b11_b22_b32_b42_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() ChiouY,0.000976562
88,b1~b11_b22_b32_b43_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEt,0.000976562
89,b1~b11_b22_b32_b43_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() GarciaEtAl2005SSlab() BooreEtAl201,0.000976562
90,b1~b11_b22_b32_b43_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() GarciaEtAl2005SSlab() CampbellBozo,0.000976562
91,b1~b11_b22_b32_b43_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() GarciaEtAl2005SSlab() ChiouYoungs2,0.000976562
92,b1~b11_b22_b32_b44_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() A,0.000976562
93,b1~b11_b22_b32_b44_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() B,0.000976562
94,b1~b11_b22_b32_b44_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() C,0.000976562
95,b1~b11_b22_b32_b44_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() C,0.000976562
96,b1~b11_b22_b33_b41_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() ,0.000976562
