# mean, investigation_time=50.0
lon,lat,SA(0.2)-0.02,SA(0.2)-0.1
-73.87000,45.43000,7.112512E-01,2.438142E-01
-73.87000,45.48000,7.090953E-01,2.427595E-01
-73.80000,45.35000,7.136669E-01,2.437378E-01
-73.80000,45.63000,6.938103E-01,2.365901E-01
-73.75000,45.45000,7.110932E-01,2.421107E-01
-73.75000,45.58000,7.013963E-01,2.385344E-01
-73.67000,45.50000,7.062844E-01,2.394987E-01
-73.63000,45.60000,6.960793E-01,2.355257E-01
-73.63000,45.69000,6.853665E-01,2.313826E-01
-73.62000,45.52000,7.018038E-01,2.376209E-01
-73.58000,45.05000,6.580173E-01,2.232545E-01
-73.57000,45.45000,7.014703E-01,2.369491E-01
-73.55360,45.50890,6.992699E-01,2.355852E-01
-73.52000,45.63000,6.877101E-01,2.307400E-01
-73.50000,45.50000,6.934725E-01,2.331608E-01
-73.47000,45.45000,6.922372E-01,2.320641E-01
-73.45000,46.02000,5.572375E-01,1.906235E-01
-73.43000,45.68000,6.707684E-01,2.235446E-01
-73.42000,45.50000,6.840882E-01,2.284359E-01
-73.35000,45.78000,6.300144E-01,2.107710E-01
-73.28000,45.45000,6.493354E-01,2.157481E-01
-73.26000,45.31000,6.306266E-01,2.108580E-01
-73.23000,45.35000,6.241798E-01,2.083296E-01
-73.23000,45.85000,5.646504E-01,1.944838E-01
-73.20000,45.57000,6.121724E-01,2.046040E-01
-73.12000,46.03000,5.032995E-01,1.766670E-01
-72.98000,45.12000,4.781990E-01,1.712446E-01
-72.98000,45.28000,4.801657E-01,1.729735E-01
-72.95000,45.62000,4.633747E-01,1.704047E-01
-72.95000,46.25000,4.669060E-01,1.647362E-01
-72.78000,47.43000,3.121521E-01,1.344307E-01
-72.75000,45.20000,3.794575E-01,1.488560E-01
-72.75000,46.55000,4.172667E-01,1.541144E-01
-72.73000,45.40000,3.753864E-01,1.483872E-01
-72.62000,45.10000,3.461417E-01,1.398450E-01
-72.57000,45.20000,3.388901E-01,1.379234E-01
-72.57000,45.65000,3.581847E-01,1.428470E-01
-72.55000,46.35000,4.701576E-01,1.651478E-01
-72.52000,45.35000,3.341005E-01,1.366374E-01
-72.48000,45.88000,3.842801E-01,1.472449E-01
-72.45000,48.65000,6.119451E-01,1.945661E-01
-72.28000,46.40000,4.706972E-01,1.668979E-01
-72.23000,48.52000,7.993842E-01,2.467017E-01
-72.23000,48.88000,5.829857E-01,1.871542E-01
-72.15000,45.67000,3.138393E-01,1.303838E-01
-72.13000,45.27000,2.981211E-01,1.252510E-01
-72.10000,45.04000,2.991284E-01,1.246775E-01
-72.00000,45.57000,2.991256E-01,1.259700E-01
-71.97000,46.05000,3.466587E-01,1.404388E-01
-71.93000,45.77000,3.081487E-01,1.291281E-01
-71.90000,45.42000,2.907712E-01,1.230041E-01
-71.85000,45.37000,2.895121E-01,1.222312E-01
-71.80000,45.13000,2.933207E-01,1.216086E-01
-71.78000,46.22000,3.675069E-01,1.482094E-01
-71.65000,48.55000,9.228573E-01,3.004188E-01
-71.40000,46.70000,5.881583E-01,2.150466E-01
-71.38000,46.78000,6.162414E-01,2.263455E-01
-71.35000,46.85000,6.318786E-01,2.346812E-01
-71.30000,46.08000,3.216621E-01,1.376623E-01
-71.28000,46.78000,6.174153E-01,2.295920E-01
-71.25000,46.77000,6.144142E-01,2.289419E-01
-71.25000,48.42000,9.517577E-01,3.222413E-01
-71.23000,46.80000,6.248727E-01,2.337329E-01
-71.22000,48.42000,9.495966E-01,3.225374E-01
-71.18000,46.80000,6.239821E-01,2.349048E-01
-71.18000,46.87000,6.462375E-01,2.447441E-01
-71.07000,48.43000,9.397796E-01,3.217113E-01
-70.91000,53.21000,7.215332E-02,2.720268E-02
-70.88000,45.58000,2.943242E-01,1.222141E-01
-70.88000,48.35000,9.614735E-01,3.345245E-01
-70.55000,46.98000,7.892395E-01,3.182475E-01
-70.51000,47.44000,1.830613E+00,7.363824E-01
-70.15000,47.65000,1.986998E+00,8.224238E-01
-70.04000,47.37000,1.716102E+00,6.882364E-01
-69.72000,48.15000,8.599269E-01,3.395292E-01
-69.53000,47.83000,1.269363E+00,4.841016E-01
-69.50000,47.92000,9.997620E-01,3.941902E-01
-69.15000,47.81670,6.011608E-01,2.530359E-01
-68.55000,48.43000,5.264178E-01,1.930988E-01
-68.33000,47.37000,3.553660E-01,1.566650E-01
-68.18000,48.58000,5.224809E-01,1.841062E-01
-68.17000,51.93000,1.059268E-01,4.284529E-02
-68.15000,49.22000,4.839403E-01,1.685631E-01
-67.73000,47.05000,3.432348E-01,1.481014E-01
-67.60000,46.16000,2.913480E-01,1.237644E-01
-67.53000,48.85000,5.192260E-01,1.781358E-01
-67.28000,45.20000,8.668563E-01,2.410078E-01
-67.05000,45.07000,9.798416E-01,2.859101E-01
-66.92000,52.95000,8.152054E-02,3.079262E-02
-66.87000,50.02000,3.766437E-01,1.315898E-01
-66.87000,52.92000,8.216269E-02,3.109273E-02
-66.83000,54.80000,6.543556E-02,2.193511E-02
-66.82000,45.13000,6.624188E-01,2.060462E-01
-66.67000,48.00000,2.945032E-01,1.233419E-01
-66.65000,45.95000,2.821313E-01,1.163590E-01
-66.48000,45.84000,2.772736E-01,1.132347E-01
-66.38000,50.20000,3.426561E-01,1.182297E-01
-66.16000,45.79000,2.626344E-01,1.064381E-01
-66.12000,43.83000,1.884169E-01,6.832825E-02
-66.05000,45.26670,2.559804E-01,1.015480E-01
-65.77000,44.62000,2.195716E-01,8.358183E-02
-65.65000,47.60000,2.784932E-01,1.139919E-01
-65.47000,47.03000,2.723529E-01,1.115599E-01
-65.12000,43.70000,1.632695E-01,5.326967E-02
-64.95000,45.60000,2.003018E-01,7.789510E-02
-64.90000,44.98000,1.805445E-01,6.916953E-02
-64.78000,46.10000,2.122783E-01,8.163058E-02
-64.72000,44.03000,1.612279E-01,5.418203E-02
-64.70000,47.73000,2.020820E-01,8.170222E-02
-64.53000,53.50000,7.596656E-02,2.711426E-02
-64.52000,44.38000,1.609030E-01,5.667490E-02
-64.50000,45.08000,1.691963E-01,6.404410E-02
-64.48000,48.83000,1.868661E-01,7.412966E-02
-64.37000,45.08000,1.659788E-01,6.234163E-02
-64.37000,45.88000,1.890214E-01,7.148000E-02
-64.32000,44.38000,1.571759E-01,5.442612E-02
-64.22000,48.53000,1.709861E-01,6.875132E-02
-64.20000,45.83000,1.769429E-01,6.775338E-02
-64.05000,45.65000,1.644786E-01,6.328886E-02
-64.03000,46.95000,1.830793E-01,7.076390E-02
-63.78330,46.40000,1.785640E-01,6.599678E-02
-63.60000,44.65000,1.486172E-01,5.046396E-02
-63.60000,50.23000,2.701135E-01,8.013721E-02
-63.57000,44.67000,1.483355E-01,5.040126E-02
-63.47000,45.43000,1.497033E-01,5.510574E-02
-63.35000,45.13000,1.474703E-01,5.228468E-02
-63.30000,45.72000,1.453417E-01,5.486341E-02
-63.27000,45.37000,1.463395E-01,5.300449E-02
-63.13330,46.23330,1.442014E-01,5.550923E-02
-62.72000,45.68000,1.378634E-01,5.042981E-02
-62.65000,45.58000,1.380193E-01,4.974890E-02
-62.25000,46.35000,1.306560E-01,4.904159E-02
-62.00000,45.62000,1.374455E-01,4.804186E-02
-61.35000,45.62000,1.440616E-01,4.974311E-02
-61.00000,45.33000,1.561954E-01,5.248451E-02
-60.37000,53.32000,8.508910E-02,2.808783E-02
-60.25000,46.22000,1.534931E-01,5.608198E-02
-60.18000,46.15000,1.576519E-01,5.755123E-02
-59.98000,45.92000,1.719099E-01,6.256549E-02
-59.48000,50.50000,9.739652E-02,3.112936E-02
-59.15000,47.57000,1.285160E-01,4.794249E-02
-58.58000,48.55000,1.085447E-01,3.903665E-02
-57.95000,48.95000,1.031062E-01,3.648976E-02
-57.95000,54.78000,1.047223E-01,2.270634E-02
-56.86670,48.81670,1.066496E-01,3.818081E-02
-55.77000,47.10000,1.757611E-01,6.862224E-02
-55.67000,48.93000,1.068126E-01,3.778865E-02
-55.58000,51.37000,9.754120E-02,2.633403E-02
-54.59000,48.98000,1.084038E-01,3.730117E-02
-53.98000,47.30000,1.485283E-01,5.560371E-02
-53.12000,48.65000,1.161552E-01,3.833502E-02
-53.07000,46.65000,1.641457E-01,6.001373E-02
-52.95000,47.63000,1.319918E-01,4.646590E-02
-52.72000,47.57000,1.327038E-01,4.616871E-02
