# mean, investigation_time=50.0
lon,lat,0.02~PGA,0.02~SA(2.0),0.1~PGA,0.1~SA(2.0)
-80.48000,43.45000,8.717958E-02,3.584755E-02,2.945013E-02,1.217490E-02
-80.47000,48.53000,1.171012E-01,3.594084E-02,3.299189E-02,1.095106E-02
-80.39400,44.17000,6.846101E-02,3.603491E-02,2.535232E-02,1.253345E-02
-80.38000,43.20000,1.028301E-01,3.679165E-02,3.251135E-02,1.230187E-02
-80.37000,43.70000,8.162812E-02,3.623240E-02,2.863992E-02,1.245832E-02
-80.32000,42.77000,9.934082E-02,3.570773E-02,3.324616E-02,1.186151E-02
-80.32000,43.38000,1.029370E-01,3.731762E-02,3.249140E-02,1.255967E-02
-80.30000,42.83000,1.007827E-01,3.605034E-02,3.349421E-02,1.198924E-02
-80.27000,43.13000,1.137940E-01,3.770189E-02,3.461412E-02,1.252940E-02
-80.25000,43.55000,9.666666E-02,3.740559E-02,3.187809E-02,1.271978E-02
-80.22000,44.48000,6.761355E-02,3.723138E-02,2.552615E-02,1.295687E-02
-80.20400,44.07600,7.424899E-02,3.691399E-02,2.719864E-02,1.282327E-02
-80.20000,42.78000,1.033920E-01,3.637139E-02,3.432982E-02,1.209441E-02
-80.10000,42.88000,1.130816E-01,3.759533E-02,3.629969E-02,1.248272E-02
-80.10000,43.92000,8.213480E-02,3.749563E-02,2.941155E-02,1.296557E-02
-80.05000,42.97000,1.257916E-01,3.873455E-02,3.816540E-02,1.280874E-02
-80.03000,45.35000,7.836800E-02,4.073542E-02,2.922548E-02,1.379485E-02
-80.03000,48.15000,1.184051E-01,4.044384E-02,3.560994E-02,1.280316E-02
-79.93000,43.07000,1.605607E-01,4.139537E-02,4.225121E-02,1.341899E-02
-79.92000,43.65000,1.135580E-01,3.966388E-02,3.613200E-02,1.341364E-02
